,year,name,variant,price,emi,driven_km,fuel,transmission,registration,location,city
317,2017,Renault Kwid,CLIMBER 1.0,186000.0,3646.0,79488,Petrol,Manual,MH-11,"Goregaon, Mumbai",Mumbai
318,2015,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,261000.0,6868.0,30580,Petrol,Manual,MH-01,"Goregaon, Mumbai",Mumbai
319,2014,Maruti Swift,ZXI,278000.0,9230.0,76106,Petrol,Manual,MH-01,"Goregaon, Mumbai",Mumbai
320,2018,Renault Kwid,RXL,256000.0,4523.0,64328,Petrol,Manual,KA-35,"Bellahalli, Bengaluru",Bangalore
321,2015,Hyundai Elite i20,SPORTZ 1.2,455000.0,11982.0,76326,Petrol,Manual,KA-53,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru",Bangalore
322,2017,Datsun Redi Go,T (O),160000.0,3128.0,64124,Petrol,Manual,KA-19,"Bellahalli, Bengaluru",Bangalore
323,2022,Renault Kwid,CLIMBER 1.0 AMT (O),372000.0,6563.0,34918,Petrol,,KA-37,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru",Bangalore
324,2022,KIA SONET,HTX ANNIVERSARY EDITION 1.0 IMT,778000.0,13734.0,36314,Petrol,Manual,KA-05,"Bellahalli, Bengaluru",Bangalore
325,2017,Maruti Baleno,ZETA PETROL 1.2,475000.0,9291.0,61040,Petrol,Manual,KA-03,"GT World Mall, Bengaluru",Bangalore
326,2017,Tata NEXON,XZ PLUS PETROL,528000.0,10315.0,58960,Petrol,Manual,KA-05,Gandhi Nagar,Bangalore
327,2013,Ford Figo,TITANIUM 1.2 PETROL,185000.0,8709.0,63801,Petrol,Manual,KA-05,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru",Bangalore
328,2013,Hyundai i20,ASTA 1.2,306000.0,14421.0,55014,Petrol,Manual,KA-01,Nexus Whitefield,Bangalore
329,2021,Maruti Baleno,DELTA PETROL 1.2,554000.0,9777.0,49791,Petrol,Manual,KA-66,"Bellahalli, Bengaluru",Bangalore
330,2014,Maruti Wagon R 1.0,VXI,229000.0,7618.0,132169,Petrol,Manual,KA-02,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru",Bangalore
331,2015,Maruti Swift,LXI,325000.0,8558.0,113654,Petrol,Manual,KA-22,"Bellahalli, Bengaluru",Bangalore
332,2018,Ford Ecosport,TITANIUM 1.5L PETROL,590000.0,10420.0,54176,Petrol,Manual,KA-05,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru",Bangalore
333,2016,Chevrolet Beat,PS PETROL,204000.0,4543.0,67440,Petrol,Manual,KA-20,Nexus Whitefield,Bangalore
334,2022,Nissan MAGNITE,XV DUAL TONE,537000.0,9485.0,61055,Petrol,Manual,KA-06,"Bellahalli, Bengaluru",Bangalore
335,2014,Maruti Alto K10,VXI,179000.0,5945.0,76242,Petrol,Manual,KA-22,"Bellahalli, Bengaluru",Bangalore
336,2021,Hyundai VENUE,S 1.2,677000.0,11946.0,50490,Petrol,Manual,KA-31,"Bellahalli, Bengaluru",Bangalore
337,2017,Tata Tiago,XT PETROL,301000.0,5889.0,81670,Petrol,Manual,KA-04,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru",Bangalore
338,2022,Maruti Swift,ZXI,538000.0,9504.0,95968,Petrol,Manual,KA-26,Gandhi Nagar,Bangalore
339,2020,Honda City,1.5L I-VTEC V MT,709000.0,12515.0,65096,Petrol,Manual,KA-04,"Bellahalli, Bengaluru",Bangalore
340,2021,Maruti Swift,VXI,581000.0,10253.0,60180,Petrol,Manual,TN-07,Sholinganallur,Chennai
341,2025,Renault Kwid,RXT 1.0,490000.00000000006,8651.0,4762,Petrol,Manual,TN-22,"Nexus Vijaya Mall, Vadapalani",Chennai
342,2022,Renault Kwid,RXL 1.0 (O),403000.0,7105.0,25244,Petrol,Manual,TN-23,"Nexus Vijaya Mall, Vadapalani",Chennai
343,2018,Renault Kwid,RXL,288000.0,5084.0,36554,Petrol,Manual,TN-14,"Thiruverkadu, Chennai",Chennai
344,2016,Volkswagen Polo,HIGHLINE1.2L,497000.0,11051.0,45401,Petrol,Manual,TN-06,Sholinganallur,Chennai
345,2019,Hyundai Grand i10,SPORTZ AT 1.2 KAPPA VTVT,488000.0,8615.0,76726,Petrol,,TN-03,"Nexus Vijaya Mall, Vadapalani",Chennai
346,2019,Tata NEXON,XT PLUS PETROL,535000.0,9444.0,56618,Petrol,Manual,TN-45,Sholinganallur,Chennai
347,2018,Datsun Redi Go,S,258000.0,4554.0,58332,Petrol,Manual,TN-14,"Thiruverkadu, Chennai",Chennai
348,2021,Honda Amaze,1.2L I-VTEC S,566000.0,9988.0,52152,Petrol,Manual,TN-14,"Nexus Vijaya Mall, Vadapalani",Chennai
349,2016,Maruti Celerio,ZXI AMT,353000.0,7852.0,57039,Petrol,,TN-22,Sholinganallur,Chennai
350,2015,Maruti Wagon R 1.0,VXI,293000.0,7720.0,25852,Petrol,Manual,TN-13,"Thiruverkadu, Chennai",Chennai
351,2021,KIA SONET,HTX 1.0 IMT,687000.0,12134.0,95441,Petrol,Manual,TN-61,"Nexus Vijaya Mall, Vadapalani",Chennai
